lgID,yearID,total_runs_allowed,total_outs,ERA,DH_allowed
AL,1988,9858,60561,4.395006687472136,DH
NL,1900,5932,29742,5.385111962880774,No DH
NL,1896,9560,41286,6.251998256067432,No DH
AL,2007,10934,60535,4.876815065664492,DH
NL,1938,5384,32740,4.440073304825901,No DH
AL,1982,10163,61005,4.498008359970494,DH
AL,2009,10793,60520,4.815118968935889,DH
AL,2015,10422,65083,4.323617534532827,DH
NL,1975,8014,52351,4.133216175431224,No DH
AL,2005,10616,60540,4.734588701684837,DH
NL,1913,5152,33383,4.1669113021597814,No DH
NL,1995,9329,54168,4.650033229951263,No DH
AA,1889,6783,29143,6.284219195003946,No DH
NL,1890,6010,28477,5.6982828247357515,No DH
AL,1977,10247,60672,4.560077136075949,DH
UA,1884,4825,22191,5.870623225632013,No DH
NL,1963,6181,43661,3.8223357229564145,No DH
NL,1881,3425,17965,5.1475090453659895,No DH
NL,2003,11917,69331,4.6409109921968525,No DH
NL,1936,5853,33331,4.7412618883321835,No DH
NL,1964,6517,43570,4.038535689694744,No DH
AL,1933,6078,32687,5.0205280386698075,No DH
NL,1974,8070,52481,4.151788266229683,No DH
AL,1973,8314,52190,4.301168806284728,DH
NL,1918,3677,27519,3.6076528943638944,No DH
AL,1931,6355,33084,5.186343852013057,No DH
NL,1898,9129,47864,5.149653184021394,No DH
NL,1970,8771,52235,4.533684311285537,No DH
AL,1960,5414,33249,4.396463051520347,No DH
NL,2017,11245,64879,4.679711462877048,No DH
AL,1942,5211,32803,4.289150382586959,No DH
NL,1979,8186,52280,4.227658760520276,No DH
NL,1901,5193,29931,4.684474290868999,No DH
NL,1983,7993,52383,4.11986713246664,No DH
AL,1983,10177,60843,4.516197426162418,DH
NL,1980,7852,52589,4.031337351917701,No DH
NL,1982,7947,52630,4.07693330799924,No DH
NL,1935,5810,32901,4.76794018418893,No DH
AL,1997,11177,60595,4.980262397887614,DH
NL,1945,5501,33118,4.484781689715562,No DH
NL,1906,4383,32525,3.6384627209838585,No DH
NL,1952,5158,33083,4.209594051325454,No DH
NL,1882,3657,18128,5.446767431597529,No DH
AL,2010,10027,60651,4.463718652619083,DH
AL,1945,4774,32846,3.924313462826524,No DH
NL,1991,7955,52163,4.1175737591779615,No DH
AL,1928,5867,32944,4.808432491500729,No DH
NL,2015,10225,65140,4.238179306109917,No DH
AL,1967,5992,43805,3.6932770231708707,No DH
NL,2008,11976,69406,4.658847938218598,No DH
AL,1984,10027,60840,4.4498520710059175,DH
NL,1905,5097,33006,4.169514633702963,No DH
NL,1989,7673,52602,3.938462415877723,No DH
AL,2024,10530,64617,4.3999257161428105,DH
NL,1924,5572,32981,4.561535429489706,No DH
NL,1946,4918,33254,3.9930835388223973,No DH
AL,1930,6661,32737,5.493692152610197,No DH
NL,1910,5010,33277,4.064969798960243,No DH
NL,1967,6218,43748,3.8375697174727987,No DH
NL,1895,10514,41421,6.85348011878033,No DH
AL,1936,7008,32800,5.768780487804878,No DH
NL,2004,12060,69438,4.689363172902445,No DH
NL,1920,4895,33676,3.924605059983371,No DH
AL,1953,5512,33181,4.48521744371779,No DH
AL,1922,5848,33186,4.7579099620321825,No DH
NL,1997,10427,60767,4.632925765629372,No DH
NL,1966,6624,43654,4.096944151738673,No DH
NL,1984,7894,52274,4.077323334736198,No DH
AL,1980,10201,60995,4.5155668497417825,DH
NL,1998,11943,69720,4.625086058519793,No DH
