lgID,yearID,Total_1B,Total_2B,Total_3B,Total_HR,Total_AB,Slugging_Pct,DH_allowed
NL,1970,17151,2743,554,1683,66465,0.4668773038441285,No DH
NL,1936,12206,2071,431,606,43891,0.45715522544485204,No DH
FL,1914,10790,1680,598,295,40998,0.4176789111663984,No DH
NL,1903,10223,1485,543,151,38005,0.40589396132087885,No DH
AL,1930,12337,2370,657,673,42878,0.5070199169737395,No DH
NL,1901,10398,1397,550,227,38967,0.40418815921164064,No DH
NL,1880,5946,980,328,62,24301,0.3760339080696268,No DH
AL,1925,12419,2217,557,533,42573,0.4851901439879736,No DH
AL,1903,9553,1549,618,184,37434,0.4071432387668964,No DH
NL,2006,23501,4834,561,2840,88844,0.5201476745756607,No DH
AL,1933,11637,2091,545,607,42663,0.4660244239739353,No DH
NL,1894,17809,2753,1300,629,57577,0.516369383608038,No DH
NL,1909,9908,1387,503,150,40638,0.36396968354741865,No DH
NL,1929,12668,2253,569,754,43030,0.5088775273065304,No DH
NL,1907,9566,1148,505,140,39337,0.3542974807433205,No DH
NL,1898,16955,2088,900,299,62661,0.39940313751775425,No DH
AL,1971,15957,2426,351,1484,64641,0.43003666403675683,No DH
NL,1994,14695,2784,377,1532,55068,0.49978208760078446,No DH
NL,1962,14453,2075,453,1449,55449,0.4645349780879727,No DH
NL,1908,9577,1244,502,151,40078,0.3536853136384051,No DH
NL,2018,20403,3993,457,2685,82722,0.4895916443026039,No DH
AL,1904,10138,1482,610,156,41479,0.3750331493044673,No DH
NL,1972,15683,2392,430,1359,63116,0.43084162494454653,No DH
NL,1946,10762,1752,382,562,42094,0.41953722620801065,No DH
AL,1977,20572,3408,644,2013,77275,0.4836234228405047,DH
NL,1957,11162,1733,365,1178,42919,0.4761294531559449,No DH
NL,1905,10515,1327,641,182,41219,0.3838035857250297,No DH
NL,1985,16596,2861,437,1424,65818,0.4455468109027925,No DH
NL,2004,23271,4687,494,2846,88622,0.5135406558190968,No DH
AL,1913,10209,1476,621,159,39915,0.3923337091319053,No DH
NL,1967,13698,2133,427,1102,55026,0.4298513430014902,No DH
AL,2006,21572,4301,391,2546,78497,0.5290775443647527,DH
AL,1907,10135,1322,455,104,40967,0.3554080113261894,No DH
NL,1987,17275,3126,435,1824,66276,0.48476069768845437,No DH
AL,1976,16820,2588,467,1122,65711,0.42435817443046064,DH
AL,1927,12025,2260,610,439,42117,0.477978013628701,No DH
AL,1912,10825,1591,671,156,40886,0.40708310913271045,No DH
NL,1978,16556,2861,482,1276,65156,0.44244582233409047,No DH
NL,1966,14202,2099,412,1378,55385,0.4540579579308477,No DH
NL,1914,10254,1510,543,267,40846,0.3910052391911081,No DH
NL,1935,12041,2053,462,662,43438,0.46459321331553016,No DH
NL,1941,11039,1892,359,597,42729,0.4279997191602893,No DH
AA,1887,10610,1638,687,223,38923,0.43262338463119493,No DH
AA,1886,9450,1339,649,164,38930,0.37839712304135625,No DH
NL,1981,11141,1881,354,719,43654,0.43159847894809183,No DH
AL,1989,20078,3404,457,1718,77004,0.45619708067113396,DH
AL,2008,20901,4285,408,2270,78119,0.5091591034191426,DH
NL,1973,16817,2600,386,1550,66087,0.4444898391514216,No DH
AL,1918,8502,1204,410,96,33535,0.3734605635902788,No DH
AL,1964,13637,2109,333,1551,55180,0.4541138093512142,No DH
AL,1951,11103,1836,349,839,42361,0.45272774485965867,No DH
NL,1916,10138,1455,589,239,41090,0.3838160136286201,No DH
NL,1922,12579,1911,662,530,43050,0.47635307781649244,No DH
AL,1922,12034,2033,586,525,42296,0.47186495176848875,No DH
AL,1956,10937,1680,353,1075,42007,0.4679220129978337,No DH
AL,1986,20237,3520,468,2290,77376,0.48905345326716293,DH
AL,1993,20661,3861,427,2074,77506,0.48976853404897686,DH
NL,1977,17465,3033,526,1631,66700,0.47425787106446776,No DH
AL,1965,13158,2077,365,1370,54362,0.43940620286229354,No DH
